Set	Total
{carbapenem;cephalosporin;monobactam;penicillin beta-lactam;phenicol, drug_and_biocide_and_metal_resistance, multidrug}	1
{disinfecting agents and antiseptics;fluoroquinolone ;lincosamide ;nucleoside ;phenicol, drug_and_biocide_resistance, efflux, multidrug}	1
{MLS, macrolide ;streptogramin b ;streptogramin, macrolide, streptogramin b, macrolide/streptogramin, ml}	2
{aminocoumarin, quinolone}	2
{MLS, macrolide, macrolide ;streptogramin, ml, multidrug}	1
{cephalosporin;fluoroquinolone ;fusidane ;macrolide, drug_and_biocide_and_metal_resistance, macrolide, multidrug}	1
{cephalosporin;fluoroquinolone ;macrolide ;penicillin beta-lactam;tetracycline, multidrug}	1
{aminoglycoside ;fluoroquinolone, drug_and_biocide_resistance, multidrug}	2
{disinfecting agents and antiseptics;fluoroquinolone ;nucleoside ;phenicol, drug_and_biocide_resistance, multidrug}	1
{lincosamide ;pleuromutilin ;streptogramin a ;streptogramin b ;streptogramin, lincosamide, streptogramin a, lincosamide/streptogramin, ml, multidrug}	1
{mycobacterium_tuberculosis-specific_drug, peptide, tuberactinomycin}	1
{multidrug, nucleoside, streptothricin}	1
{drug_and_biocide_resistance, fluoroquinolone ;macrolide ;penicillin beta-lactam;tetracycline, multidrug}	1
{drug_and_biocide_resistance, efflux, macrolide, multidrug}	2
{aminoglycoside, drug_and_biocide_and_metal_resistance}	2
{disinfecting agents and antiseptics;fluoroquinolone ;tetracycline, drug_and_biocide_resistance, multidrug}	2
{cephalosporin;fluoroquinolone ;penicillin beta-lactam, drug_and_biocide_resistance, efflux, multidrug}	1
{cephalosporin;fluoroquinolone ;penicillin beta-lactam, drug_and_biocide_resistance, multidrug}	1
{aminoglycoside, aminoglycoside ;macrolide, drug_and_biocide_resistance, multidrug}	1
{disinfecting agents and antiseptics;fluoroquinolone, drug_and_biocide_resistance, multidrug}	4
{beta-lactam, na}	4
{MLS, lincosamide, multidrug}	4
{MLS, lincosamide ;pleuromutilin ;streptogramin a ;streptogramin, lincosamide, streptogramin a, pleuromutilin, lincosamide/pleuromutilin/streptogramin, multidrug}	1
{aminoglycoside ;carbapenem;fluoroquinolone ;macrolide ;tetracycline, multidrug}	1
{cationic_antimicrobial_peptide, peptide, polymyxin, polypeptide}	1
{carbapenem;cephalosporin;disinfecting agents and antiseptics;fluoroquinolone ;glycylcycline;monobactam;penicillin beta-lactam;phenicol ;rifamycin ;tetracycline, multidrug}	1
{multidrug, tetracycline}	14
{MLS, streptogramin, streptogramin a ;streptogramin}	1
{lincosamide ;pleuromutilin ;streptogramin, lincosamide, streptogramin a, pleuromutilin, lincosamide/streptogramin, multidrug}	1
{aminoglycoside ;carbapenem;cephalosporin;disinfecting agents and antiseptics;fluoroquinolone ;macrolide ;penicillin beta-lactam;phenicol ;tetracycline, drug_and_biocide_resistance, multidrug}	1
{aminoglycoside, aminoglycoside ;fluoroquinolone, aminoglycoside/quinolone}	3
{na, nucleoside, tunicamycin}	1
{MLS, lincosamide, multidrug, pleuromutilin ;streptogramin a ;streptogramin, streptogramin a, streptogramin b}	1
{beta-lactam, carbapenem;cephalosporin;disinfecting agents and antiseptics;fluoroquinolone ;glycylcycline;monobactam;penicillin beta-lactam;phenicol ;rifamycin ;tetracycline, multidrug}	1
{aminocoumarin ;carbapenem;cephalosporin;diaminopyrimidine ;fluoroquinolone ;macrolide ;monobactam;penicillin beta-lactam;peptide ;phenicol ;sulfonamide ;tetracycline, drug_and_biocide_resistance, multidrug}	1
{disinfecting agents and antiseptics;fluoroquinolone, drug_and_biocide_resistance, multidrug, quinolone}	1
{MLS, lincosamide ;macrolide, macrolide, multidrug}	1
{chloramphenicol, multidrug, phenicol}	7
{aminoglycoside ;fluoroquinolone, multidrug}	1
{drug_and_biocide_resistance, fluoroquinolone, multidrug, quinolone}	2
{glycopeptide, lipopeptide, peptide}	5
{disinfecting agents and antiseptic, na, triclosan}	3
{disinfecting agents and antiseptic, multidrug, triclosan}	1
{carbapenem;diaminopyrimidine ;disinfecting agents and antiseptics;macrolide ;phenicol ;tetracycline, drug_and_biocide_resistance, multidrug}	3
{disinfecting agents and antiseptics;macrolide ;tetracycline, drug_and_biocide_resistance, multidrug}	2
{disinfecting agents and antiseptics;fluoroquinolone ;macrolide ;phenicol ;tetracycline, multidrug}	2
{chloramphenicol, drug_and_biocide_resistance, phenicol}	1
{chloramphenicol, drug_and_biocide_resistance, multidrug, phenicol}	1
{lincosamide ;pleuromutilin ;streptogramin a ;streptogramin, lincosamide, streptogramin a, pleuromutilin, lincosamide/pleuromutilin/streptogramin, multidrug}	1
{MLS, lincosamide ;macrolide, ml, multidrug}	1
{cationic_antimicrobial_peptide, glycopeptide, peptide}	4
{multidrug, oxazolidinone ;phenicol, oxazolidinone/phenicol}	1
{multidrug, penicillin beta-lactam;tetracycline, tetracycline}	1
{lincosamide ;oxazolidinone ;phenicol ;streptogramin, lincosamide/oxazolidinone/phenicol/pleuromutilin/streptogramin, multidrug, oxazolidinone, amphenicol, lincosamide, streptogramin a, pleuromutilin}	1
{aminoglycoside, beta-lactam}	16
{amphenicol, quinolone, folate pathway antagonist, diaminopyrimidine ;fluoroquinolone ;glycylcycline;nitrofuran ;tetracycline, drug_and_biocide_resistance, multidrug, nitrofuran/phenicol/quinolone/tetracycline, quinolone}	2
{cephalosporin;moenomycin ;penicillin beta-lactam;peptide, multidrug}	1
{drug_and_biocide_resistance, fluoroquinolone ;macrolide ;rifamycin, multidrug}	2
{multidrug, nitroimidazole}	1
{disinfecting agents and antiseptics;fluoroquinolone, drug_and_biocide_resistance, efflux, multidrug}	1
{drug_and_biocide_resistance, fluoroquinolone ;macrolide, multidrug}	1
{drug_and_biocide_resistance, isoniazid-like ;rifamycin, multidrug}	1
{antibacterial free fatty acid, drug_and_biocide_resistance, multidrug}	1
{antibacterial free fatty acid, drug_and_biocide_resistance, efflux, multidrug}	1
{fluoroquinolone ;nitroimidazole ;tetracycline, multidrug}	1
{MLS, multidrug}	4
{MLS, lincosamide ;macrolide, macrolide, ml}	1
{colistin, lipopeptide, peptide, polymyxin}	50
{aminoglycoside, kasugamycin}	14
{MLS, avilamycin, lincosamide ;macrolide ;orthosomycin, ml, multidrug}	1
{nucleoside, streptothricin}	3
{multidrug, pleuromutilin}	4
{MLS, ml, streptogramin, streptogramin a ;streptogramin}	1
{aminocoumarin ;macrolide ;monobactam;tetracycline, multidrug}	4
{colistin, glycopeptide, lipopeptide, peptide, polymyxin}	9
{lincosamide ;pleuromutilin ;streptogramin a ;streptogramin, lincosamide/pleuromutilin/streptogramin, multidrug}	4
{colistin, na, peptide, polymyxin}	1
{colistin, peptide, polymyxin}	26
{colistin, peptide}	9
{aminocoumarin ;aminoglycoside ;carbapenem;cephalosporin;diaminopyrimidine ;fluoroquinolone ;macrolide ;monobactam;penicillin beta-lactam;peptide ;phenicol ;sulfonamide ;tetracycline, beta-lactam, drug_and_biocide_resistance, multidrug}	1
{colistin, lipopeptide, na, peptide, polymyxin}	2
{aminoglycoside, multidrug}	6
{efflux, macrolide, multidrug}	1
{bicyclomycin-like, multidrug}	1
{aminocoumarin ;carbapenem;cephalosporin;diaminopyrimidine ;fluoroquinolone ;macrolide ;monobactam;penicillin beta-lactam;peptide ;phenicol ;sulfonamide ;tetracycline, multidrug}	1
{multidrug, peptide, peptide ;polyamine}	1
{cationic_antimicrobial_peptide, colistin, glycopeptide, peptide, polymyxin}	1
{fosfomycin, na, phosphonic acid}	1
{aminocoumarin ;aminoglycoside ;carbapenem;cephalosporin;diaminopyrimidine ;disinfecting agents and antiseptics;fluoroquinolone ;macrolide ;monobactam;penicillin beta-lactam;peptide ;phenicol ;sulfonamide ;tetracycline, multidrug}	1
{bleomycin, glycopeptide}	4
{aminoglycoside ;disinfecting agents and antiseptics;fluoroquinolone, drug_and_biocide_resistance, multidrug}	1
{macrolide, multidrug}	6
{beta-lactam, carbapenem;cephalosporin;monobactam;penicillin beta-lactam, multidrug}	1
{aminoglycoside ;cephalosporin;fluoroquinolone ;macrolide, drug_and_biocide_resistance, multidrug}	3
{chloramphenicol, lincosamide ;oxazolidinone ;phenicol ;streptogramin, lincosamide/oxazolidinone/phenicol/pleuromutilin/streptogramin, multidrug}	1
{disinfecting agents and antiseptics;phenicol ;tetracycline, drug_and_biocide_resistance, multidrug}	1
{peptide ;rifamycin, rifampin, rifamycin}	1
{folate pathway antagonist, sulfonamide}	35
{cationic_antimicrobial_peptide, colistin, glycopeptide, peptide}	1
{lipopeptide, peptide, polymyxin, polypeptide}	1
{amphenicol, oxazolidinone, tetracycline, multidrug, oxazolidinone ;phenicol ;tetracycline, oxazolidinone/phenicol}	1
{macrolide, ml}	13
